processId,threadId,parentProcessId,userId,mountNamespace,argsNum,returnValue,sus_label
30711,47,7867,1869,4,0,0,0
10956,783,9489,1081,7,0,1,0
26431,244,6001,1346,7,4,0,0
9512,959,9654,1206,1,2,0,0
23700,825,9771,1492,2,0,0,0
14986,930,8333,1329,9,0,0,0
6644,455,6880,1500,8,4,0,0
11382,6,4998,1363,4,1,0,0
48556,327,3595,1472,1,0,0,0
10155,3,7935,1493,9,2,0,0
38174,247,2224,1603,4,0,0,0
35698,164,671,1166,3,1,0,0
46162,548,3585,1024,5,4,0,0
10860,159,9696,1383,3,2,0,0
7588,171,9337,1134,9,0,0,0
74687,4371,87,28,12,5,-1,1
9567,581,5232,1768,9,4,0,0
24852,108,2658,1355,4,2,0,0
2007,936,5458,1642,6,2,0,0
42832,326,7120,1860,3,3,0,0
9717,764,7746,1622,6,2,0,0
14140,376,1724,1100,1,2,0,0
37455,112,6995,1516,1,3,1,0
18337,53,9716,1944,6,4,0,0
64628,4802,224,91,32,13,0,1
24049,343,8764,1461,8,0,0,0
76921,1088,16,72,27,17,1,1
31746,194,2538,1144,3,1,0,0
71291,2754,384,15,26,14,-1,1
10435,75,5533,1006,1,1,0,0
5780,207,5069,1516,9,3,0,0
20190,290,2382,1159,5,0,0,0
85677,4931,82,81,29,17,1,1
61774,1168,256,30,44,16,-1,1
36150,93,5051,1851,7,4,0,0
36732,58,6900,1546,5,2,0,0
74911,3514,234,93,29,15,0,1
80158,3740,472,35,42,18,1,1
65238,4264,388,32,28,17,-1,1
48614,207,3781,1017,6,1,0,0
74718,1542,2,11,20,11,1,1
89882,3902,468,58,36,12,-1,1
1189,213,5432,1479,7,2,0,0
44573,360,8862,1603,4,2,0,0
27698,493,2960,1639,6,4,0,0
64247,4975,141,70,41,17,-1,1
66312,3035,37,39,18,14,1,1
68085,2103,321,24,48,7,-1,1
34691,298,5734,1504,7,0,0,0
27724,676,8048,1488,8,2,0,0
57124,3012,473,76,49,15,1,1
53695,4026,254,88,18,6,0,1
20169,53,6109,1529,5,0,1,0
15537,615,6122,1912,1,3,0,0
3243,162,4997,1862,2,4,0,0
31933,763,3633,1480,5,4,0,0
12954,38,8933,1810,4,3,0,0
19047,69,7845,1202,7,1,0,0
41059,76,3885,1410,3,0,0,0
42779,692,2742,1756,8,2,0,0
40532,777,9212,1246,1,0,0,0
91418,4357,237,91,30,14,0,1
70846,1528,26,87,13,7,-1,1
87039,2523,350,9,11,13,1,1
28480,833,6894,1992,1,1,0,0
33784,817,1167,1812,9,4,1,0
8156,992,8701,1502,6,3,0,0
35958,834,9199,1158,2,3,0,0
74502,2404,83,26,40,10,-1,1
80000,3290,223,39,42,10,0,1
46004,480,7896,1583,4,3,1,0
24247,833,3299,1786,5,1,0,0
24509,613,4456,1090,8,0,0,0
39360,329,6331,1409,9,1,0,0
14046,733,6318,1609,2,0,0,0
44753,661,1916,1545,5,0,0,0
12003,373,794,1607,1,3,0,0
45522,180,8571,1318,9,2,0,0
12916,781,9996,1130,3,3,0,0
69703,2988,469,60,38,6,0,1
17232,245,9676,1287,9,4,0,0
45517,892,8093,1578,8,3,1,0
61891,1350,293,15,30,12,1,1
25262,455,3386,1254,1,2,0,0
8345,663,7096,1542,9,3,0,0
36737,443,7894,1902,6,3,0,0
1009,90,4993,1648,8,1,1,0
23556,675,4987,1395,2,4,0,0
68658,1909,317,36,12,10,0,1
87487,1231,89,20,38,12,-1,1
53101,3611,227,65,42,7,0,1
6237,22,4976,1911,8,0,0,0
43557,797,3060,1471,1,0,0,0
41806,283,8598,1380,3,0,0,0
27211,96,4971,1241,5,3,0,0
98991,2011,424,19,30,19,1,1
44363,491,9295,1416,8,4,0,0
